year,office,office_name,approved,modified,accrued,shifted,ratio
2009,0600,Tribunal de Etica Gubernamental,1408210.0,1285956.999999998,1285938.0899999978,-122253.00000000001,-8.681446659234064
2009,3300,Ramo de Trabajo y Previsión Social,10356620.0,10256201.379999995,10240548.809999995,-100418.61999999976,-0.9696080381437164
2009,4400,Ramo de Medio Ambiente y Recursos Naturales,11030780.000000004,11709720.999999998,9075783.19,678941.0000000002,6.1549681890129255
2009,1800,Procuraduría General de la República,18915270.0,19627537.369999986,19490271.92999999,712267.3699999992,3.7655680833527576
2009,0300,Tribunal Supremo Electoral,13562290.000000007,14319123.109999994,14240056.44999999,756833.110000002,5.580422701475942
2009,0800,Ramo de Relaciones Exteriores,37170475.000000015,38507971.000000045,38363141.860000074,1337495.999999991,3.5982752439940313
2009,0900,Ramo de la Defensa Nacional,132190575.0,134497778.00000006,134431173.32000005,2307203.0000000033,1.745361195380233
2009,4200,Ramo de Agricultura y Ganadería,52100075.0,57320110.72999995,55558929.26,5220035.730000004,10.01924801451822
2009,1700,Fiscalía General de la República,34081950.0,41638638.32000004,41313273.92000003,7556688.319999999,22.17211256985002
2009,2400,Ramo de Justicia y Seguridad Pública,265329520.0,300315198.85999984,281583373.9899997,34985678.86000003,13.185746862995126
2009,3200,Ramo de Salud,393395385.0,428785246.36000085,422440083.4400011,35389861.36000002,8.996003183921445
2009,4100,Ramo de Economía,43432265.000000015,100380186.02000007,100181746.92000006,56947921.02,131.11892971734258
2009,3100,Ramo de Educación,702874705.0,760416969.0000012,756223631.6300015,57542264.00000001,8.186702920259451
2009,4300,Ramo de Obras Públicas y de Transporte,138337775.0,206939006.99999997,201879786.9600001,68601232.0,49.58965980188708
2009,0700,Ramo de Hacienda,1391377750.0,2365961030.4599996,2349877535.2400002,974583280.4600003,70.04447788963137
2010,0700,Ramo de Hacienda,1435628620.0,1431577995.6099994,1418340075.3499997,-4050624.390000036,-0.2821498773129806
2010,0500,Presidencia de la República,64693229.99999984,61043601.62999998,57946666.029999994,-3649628.369999999,-5.641437859881178
2010,4600,Ramo de Turismo,13861395.0,13643513.91,13003903.189999998,-217881.0900000002,-1.57185543013528
2010,0400,Tribunal de Servicio Civil,825720.0,667959.0000000006,595644.1099999998,-157761.00000000038,-19.10587123964545
2010,0600,Tribunal de Etica Gubernamental,1409085.0,1385559.9999999998,1348570.1999999993,-23524.999999999985,-1.669523130258287
2010,3300,Ramo de Trabajo y Previsión Social,11734740.0,11728311.0,11545616.789999997,-6428.999999999865,-0.05478604553658509
2010,1500,Consejo Nacional de la Judicatura,5359965.0,5359964.999999994,5136976.529999994,-2.3283064365386963e-10,-4.343883656961746e-15
2010,0200,Corte de Cuentas de la República,33733775.0,33733775.0,32102071.88000001,8.731149137020111e-11,2.588251429619161e-16
2010,0100,Organo Legislativo,45880130.0,45927710.0,45898776.879999995,47580.00000000675,0.10370502437549055
2010,1900,Procuraduría para la Defensa de los Derechos Human,6540940.0,6686689.999999996,6667105.629999996,145749.99999999985,2.228273000516743
2010,0800,Ramo de Relaciones Exteriores,38408329.99999998,38840129.000000015,38813745.15000005,431798.9999999983,1.124232685982438
2010,1800,Procuraduría General de la República,18090765.0,18570498.00000003,18569690.730000027,479732.9999999989,2.651811573474084
2010,1600,Organo Judicial,193182299.99999976,194136938.00000012,180443161.33999994,954638.0,0.4941643204372249
2010,1700,Fiscalía General de la República,34375455.00000003,35671890.99999998,35665339.159999974,1296435.9999999967,3.77140026219288
2010,0300,Tribunal Supremo Electoral,13455985.000000006,19087048.999999985,19040030.02999998,5631063.999999999,41.848025246758205
2010,4400,Ramo de Medio Ambiente y Recursos Naturales,8501364.999999998,18706753.999999996,17988259.089999992,10205388.999999996,120.04412232623818
2010,2300,Ramo de Gobernación y Desarrollo Territorial,15853970.00000001,28021162.000000034,21241000.41000001,12167192.000000006,76.74539563276579
2010,4200,Ramo de Agricultura y Ganadería,51012870.00000001,64633455.03000007,59809955.99000002,13620585.030000003,26.7002915734794
2010,0900,Ramo de la Defensa Nacional,132010110.0,145952471.00000012,145677573.27000007,13942360.999999998,10.561585775513707
2010,3100,Ramo de Educación,671450625.0,695974655.0200001,687810178.5699999,24524030.019999996,3.6523951437233375
2010,2400,Ramo de Justicia y Seguridad Pública,290285095.0,330169438.0000005,328604306.5500007,39884343.00000005,13.739714400424194
2010,3200,Ramo de Salud,390651645.00000024,447809128.0700005,443000977.1500006,57157483.06999984,14.631317646185721
2010,4100,Ramo de Economía,41839610.0,129107023.14000003,128311351.79000005,87267413.14000002,208.57606736774082
2010,4300,Ramo de Obras Públicas y de Transporte,125725180.0,238088668.22000003,208035089.2500001,112363488.22000003,89.372302525238
2011,0500,Presidencia de la República,93183715.00000009,77783621.52999984,72911487.24999991,-15400093.470000032,-16.526593160618265
2011,1600,Organo Judicial,208113740.0,205775791.9999998,195196718.59999987,-2337947.999999997,-1.1233991566342507
2011,0800,Ramo de Relaciones Exteriores,41254930.0,40242729.000000186,40222100.00000018,-1012200.9999999978,-2.453527372364946
2011,0100,Organo Legislativo,53502495.0,53502495.000000075,52940357.480000064,-4.656612873077393e-10,-8.703543401251461e-16
2011,0200,Corte de Cuentas de la República,34811375.0,34811375.0,34021639.39,-3.2741809263825417e-10,-9.405491527934596e-16
2011,0400,Tribunal de Servicio Civil,825720.0,825720.0000000006,720718.6600000003,-4.3655745685100555e-11,-5.286991435971099e-15
2011,0600,Tribunal de Etica Gubernamental,1409085.0,1409085.0,1185924.32,5.820766091346741e-11,4.1308835814352866e-15
2011,4600,Ramo de Turismo,13969090.0,14059090.000000002,13673924.980000002,89999.99999999962,0.6442796202186372
2011,1900,Procuraduría para la Defensa de los Derechos Human,7799695.0,7972769.999999998,7960280.689999997,173075.00000000087,2.2189970248836763
2011,4400,Ramo de Medio Ambiente y Recursos Naturales,17834290.000000007,18138116.0,15926670.810000004,303826.00000000105,1.7036058065670174
2011,1800,Procuraduría General de la República,19169485.0,19495135.00000001,19494970.62000001,325650.0000000006,1.6987936817290636
2011,3300,Ramo de Trabajo y Previsión Social,12586815.0,12942715.000000006,12785017.470000006,355899.99999999977,2.827562016284499
2011,1500,Consejo Nacional de la Judicatura,5509965.0,5896490.000000001,5784306.85,386524.9999999999,7.0150173367707405
2011,0300,Tribunal Supremo Electoral,14847985.000000006,18057387.999999993,17924168.329999994,3209402.999999999,21.615074368676947
2011,1700,Fiscalía General de la República,33875454.99999993,37788989.99999998,37785269.01999996,3913534.9999999995,11.55271567570091
2011,2300,Ramo de Gobernación y Desarrollo Territorial,15540135.0,21343867.000000022,19770779.579999994,5803732.0,37.34672832636267
2011,4200,Ramo de Agricultura y Ganadería,54175080.00000001,67856671.99999997,58338269.869999975,13681592.0,25.25440110102283
2011,0900,Ramo de la Defensa Nacional,144904005.0,162377480.99999988,162294901.38999984,17473476.00000003,12.058656349767578
2011,3200,Ramo de Salud,470783949.9999998,488886453.73000026,471647192.16000044,18102503.729999952,3.8451828551079448
2011,4300,Ramo de Obras Públicas y de Transporte,208657585.0,228894993.9999997,204480964.20000017,20237409.00000002,9.698860935249499
2011,2400,Ramo de Justicia y Seguridad Pública,315754540.0,336831303.0000005,335647012.9100005,21076762.99999995,6.675046699249345
2011,3100,Ramo de Educación,706989165.0,769784734.0000001,763986146.2800003,62795569.000000015,8.88211193448771
2011,4100,Ramo de Economía,73329310.0,177435511.99999994,173809743.06999996,104106202.0,141.97079176116617
2011,0700,Ramo de Hacienda,1944848385.0,2161354469.0,2078708450.4100006,216506084.0,11.132285975083862
2012,0500,Presidencia de la República,91764940.0,85162967.08999985,77666992.13999988,-6601972.909999981,-7.194439303289449
2012,1600,Organo Judicial,226861384.9999999,224562808.99999994,208127730.57000026,-2298576.000000005,-1.0132072498808053
2012,0800,Ramo de Relaciones Exteriores,41045990.0,39514439.999999985,39507111.01,-1531550.0000000023,-3.7313023757010186
2012,0200,Corte de Cuentas de la República,35833765.0,35333765.00000002,33440009.440000016,-499999.9999999997,-1.3953320283257975
2012,4600,Ramo de Turismo,16988035.0,16544361.31,15868618.03,-443673.6899999996,-2.611683399522073
2012,0300,Tribunal Supremo Electoral,15865759.999999989,15534682.999999978,15387723.489999982,-331076.99999999977,-2.086738990127167
2012,0600,Tribunal de Etica Gubernamental,1410035.0,1105021.9999999995,1016179.9500000004,-305013.0,-21.63159070519526
2012,3300,Ramo de Trabajo y Previsión Social,13259115.0,13126278.999999989,12944786.38999999,-132835.9999999999,-1.0018466541696027
2012,0400,Tribunal de Servicio Civil,826670.0,700477.9999999994,684996.7599999986,-126191.99999999999,-15.265099737501057
2012,1500,Consejo Nacional de la Judicatura,5814600.0,5783640.0,5756604.75,-30960.000000000146,-0.5324527912496155
2012,1900,Procuraduría para la Defensa de los Derechos Human,8572345.0,8572344.999999985,8473895.649999995,-5.820766091346741e-11,-6.790167791131529e-16
2012,0100,Organo Legislativo,56333375.0,56333375.000000015,54754319.14,0.0,0.0
2012,1800,Procuraduría General de la República,20443535.0,20762280.00000003,20757722.580000035,318745.00000000023,1.5591481610200988
2012,1700,Fiscalía General de la República,33550440.0,34350440.00000003,34344038.240000024,799999.9999999998,2.3844694734256833
2012,2300,Ramo de Gobernación y Desarrollo Territorial,17405065.000000004,19677025.000000026,19155222.250000015,2271960.000000005,13.053441627480304
2012,4400,Ramo de Medio Ambiente y Recursos Naturales,12641099.999999994,15594229.000000007,12137962.220000017,2953128.999999998,23.361329314695713
2012,3200,Ramo de Salud,522606109.99999994,526003460.0000013,493681466.490001,3397349.999999863,0.6500785075015414
2012,3100,Ramo de Educación,827710740.0,833230206.0000001,823179513.9300007,5519466.000000004,0.6668351313165278
2012,4200,Ramo de Agricultura y Ganadería,65562570.0,72927663.99999993,70031070.8099999,7365094.0,11.233687148017534
2012,2400,Ramo de Justicia y Seguridad Pública,326018639.99999994,337949908.99999994,336568806.77999973,11931269.000000007,3.6596892128621876
2012,0900,Ramo de la Defensa Nacional,143131030.0,159678784.00000015,159664678.58000007,16547754.000000015,11.561262432052654
2012,4300,Ramo de Obras Públicas y de Transporte,227744510.0,275374523.00000006,239675547.0600002,47630013.00000001,20.913791950462386
2012,0700,Ramo de Hacienda,1376070615.0,1445217375.9999995,1408603955.3399992,69146761.00000007,5.024942778826802
2012,4100,Ramo de Economía,93763745.0,175099004.0,173135942.1,81335259.00000001,86.7448916422867
