"year","muni_contab_id","account","amount"
"2010","8111","213","0"
"2010","8111","222","38285.7109375"
"2010","8111","225","237874.314453125"
"2010","8111","231","658.5799217224121"
"2010","8111","241","563150.68359375"
"2010","8111","243","53349.859375"
"2010","8111","251","367401.5234375"
"2010","8111","252","0"
"2010","8111","412","2005.969955444336"
"2010","8111","413","19727.1904296875"
"2010","8111","424","-0.003437042236328125"
"2010","8111","811","1260451.25"
"2010","8111","831","1676034"
"2010","8111","833","220077.34375"
"2010","8111","834","171860.7318458557"
"2010","8111","835","231.7100067138672"
"2010","8111","836","1547.5"
"2010","8111","837","154020.74896240234"
"2010","8111","838","44611.28125"
"2010","8111","839","64067.240234375"
"2010","8111","851","1996.97998046875"
"2010","8111","856","350354.61328125"
"2010","8111","857","2066895"
"2010","8111","858","73260.6328125"
"2010","8111","859","140177.708984375"
"2010","8112","211","335996.279296875"
"2010","8112","212","1235.90625"
"2010","8112","213","74655.671875"
"2010","8112","222","38290.5"
"2010","8112","225","63393.4892578125"
"2010","8112","231","1194.3899841308594"
"2010","8112","241","428438.1875"
"2010","8112","243","1843592.125"
"2010","8112","251","84846.65234375"
"2010","8112","252","4237.1484375"
"2010","8112","412","6303.1400146484375"
"2010","8112","413","13097.132568359375"
"2010","8112","422","1117046.28125"
"2010","8112","424","45902.830078125"
"2010","8112","811","1878964.210351564"
"2010","8112","831","399333.8125"
"2010","8112","833","108595.95937538147"
"2010","8112","834","46071.23159790039"
"2010","8112","835","171.75999450683594"
"2010","8112","836","142943.38134765625"
"2010","8112","837","25259.6298828125"
"2010","8112","838","19956.630859375"
"2010","8112","839","146283.888671875"
"2010","8112","851","22960.16015625"
"2010","8112","855","5.159999847412109"
"2010","8112","856","138739.140625"
"2010","8112","857","387763.71484375"
"2010","8112","858","85497.21875"
"2010","8112","859","68217.70068359375"
"2010","8201","211","258496.96459960938"
"2010","8201","212","19.079999923706055"
"2010","8201","213","331105.5234375"
"2010","8201","222","35337.140625"
"2010","8201","225","0.017578125"
"2010","8201","231","10200.029602050781"
"2010","8201","241","339206.546875"
"2010","8201","243","812210"
"2010","8201","252","24066.844848632812"
"2010","8201","412","684.7200012207031"
"2010","8201","413","0"
"2010","8201","422","387392.7265625"
"2010","8201","424","0"
"2010","8201","811","1195191.875"
"2010","8201","831","708586.6491699219"
"2010","8201","833","350118.5"
"2010","8201","834","200887.44952392578"
"2010","8201","835","985.3400268554688"
"2010","8201","836","58319.12060546875"
"2010","8201","837","21185.359375"
"2010","8201","838","25707.33984375"
"2010","8201","839","313250.51264953613"
"2010","8201","851","162599.875"
"2010","8201","856","400714.71875"
"2010","8201","857","1039561.03125"
"2010","8201","858","290186.6875"
"2010","8201","859","13350.71044921875"
"2010","8202","211","119195.6953125"
"2010","8202","213","180676.1796875"
"2010","8202","221","39062.359375"
"2010","8202","225","245991.849609375"
"2010","8202","226","2260"
"2010","8202","231","1569.47998046875"
"2010","8202","241","483613.69140625"
"2010","8202","243","31115.4296875"
"2010","8202","251","39670.5390625"
"2010","8202","252","-0.044921875"
"2010","8202","412","5062.550338745117"
"2010","8202","413","17047.13232421875"
"2010","8202","422","1636448.15625"
"2010","8202","424","2162.780029296875"
"2010","8202","811","-148764.09814453125"
"2010","8202","831","1726956.3952636719"
"2010","8202","833","538973.25"
"2010","8202","834","282332.921875"
"2010","8202","835","4036.5"
"2010","8202","836","178881.30200195312"
"2010","8202","837","10450"
"2010","8202","838","39210.900390625"
"2010","8202","839","296028.7724609375"
"2010","8202","851","163971.41357421875"
"2010","8202","856","460546.375"
"2010","8202","857","1414745.875"
"2010","8202","858","431910.716796875"
"2010","8202","859","236894.42529296875"
"2010","8203","211","754300.875"
"2010","8203","212","24646.640625"
"2010","8203","213","107113.171875"
"2010","8203","222","35337.140625"
"2010","8203","225","415223.2421875"
"2010","8203","226","26726.099609375"
