year,contab,class,kind,group,amount,id,shp,department,municipality,population
2018,8101,ACR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,ACR,Ingresos,INGPRP,3581778.8422546387,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,ACR,Ingresos,TRFREC,3175889.9453125,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,APR,Egresos,AMTDEU,367856.4423828125,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,APR,Egresos,GASTOS,6313394.540893555,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,APR,Egresos,INVERS,2054235.3520507808,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,APR,Ingresos,INGPRP,5447879.742919922,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,APR,Ingresos,TRFREC,3287606.6641845703,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,MOD,Egresos,AMTDEU,399868.0556640625,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,MOD,Egresos,GASTOS,6718370.727909088,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,MOD,Egresos,INVERS,2501404.9693484493,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,MOD,Ingresos,INGDEU,435432.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,MOD,Ingresos,INGPRP,5459298.305419922,1101,1,Ahuachapán,Ahuachapán,110511.0
2018,8101,MOD,Ingresos,TRFREC,3724913.1134033203,1101,1,Ahuachapán,Ahuachapán,110511.0
2019,8101,ACR,Ingresos,INGPRP,14393830.299155235,1101,1,Ahuachapán,Ahuachapán,110511.0
2019,8101,ACR,Ingresos,TRFREC,1334581.0597465038,1101,1,Ahuachapán,Ahuachapán,110511.0
2019,8101,APR,Ingresos,INGPRP,14129993.050292969,1101,1,Ahuachapán,Ahuachapán,110511.0
2019,8101,APR,Ingresos,TRFREC,2488264.983642578,1101,1,Ahuachapán,Ahuachapán,110511.0
2019,8101,MOD,Ingresos,INGPRP,16230196.139795065,1101,1,Ahuachapán,Ahuachapán,110511.0
2019,8101,MOD,Ingresos,TRFREC,1716953.3190402985,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,ACR,Egresos,AMTDEU,739127.9951171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,ACR,Egresos,GASTOS,6568613.500867844,1101,1,Ahuachapán,Ahuachapán,110511.0
2020,8101,ACR,Egresos,INVERS,1280400.2970733645,1101,1,Ahuachapán,Ahuachapán,110511.0
