"code","funding","fundpop","fundeq","fundpov","fundter","pop","popurb","cases","shp2","dep","mun","area","party","trfpop","dens","infpop","quintile","grp","agr"
1111,417766.01,185902.036420386,182919.845496183,39419.4197880372,9524.69655362818,8997,71.2,126,12,"Ahuachapán","Turín",20.91,"PCN",46.4339235300656,0.430272596843615,14.0046682227409,2,3,2
1408,225578.24,19497.1234762108,182919.845496183,7441.65353608625,15719.6156128985,1467,30.9,7,13,"Cabañas","Cinquera",34.51,"FMLN",153.768398091343,0.042509417560128,4.77164280845263,1,5,5
1409,370542.5,132947.300672281,182919.845496183,45105.1018393211,9570.24772318164,5550,43.6,21,15,"Cabañas","Guacotecti",21.01,"GANA",66.7644144144144,0.264159923845788,3.78378378378378,1,2,3
1402,1745097.37,908841.192266959,182919.845496183,539600.266729788,113736.068258031,61510,38.7,250,16,"Cabañas","Ilobasco",249.69,"ARENA",28.3709538286457,0.246345468380792,4.06437977564624,5,2,3
1405,540029.16,243815.970962093,182919.845496183,82719.5684932669,30573.7690042814,6584,9.5,14,17,"Cabañas","Jutiapa",67.12,"ARENA",82.021439854192,0.098092967818832,2.12636695018226,3,4,4
1404,774575.26,384540.209848021,182919.845496183,152407.025992512,54708.1721112241,7796,19.9,34,18,"Cabañas","San Isidro",78.33,"PCN",99.355472036942,0.09952763947402,4.36121087737301,4,4,4
1401,1647181.02,930226.893585116,182919.845496183,394498.182821548,139536.09869311,40332,38.2,252,19,"Cabañas","Sensuntepeque",306.33,"ARENA",40.8405489437667,0.131661933209284,6.24814043439453,5,2,3
1406,437345.7,172790.726870182,182919.845496183,58622.7970430829,23012.3148584072,7114,38.6,39,20,"Cabañas","Tejutepeque",50.52,"ARENA",61.4767641270734,0.140815518606492,5.4821478774248,2,2,3
1407,524938.57,192491.655365308,182919.845496183,81633.4307413875,67893.6332194299,6347,22.3,16,14,"Cabañas","Villa Dolores",149.05,"FMLN",82.706565306444,0.042583025830258,2.52087600441153,2,4,4
1403,729814.73,362050.244943649,182919.845496183,136935.72222765,47908.9186588073,12626,10.4,52,21,"Cabañas","Villa Victoria",146.95,"ARENA",57.8025289086013,0.085920381082001,4.11848566450182,4,2,3
910,656936.4,287361.816670285,182919.845496183,97493.3936434993,89161.3472839397,8261,24,34,22,"Chalatenango","Agua Caliente",195.74,"PCN",79.5226243796151,0.042203944007357,4.11572448856071,3,2,3
906,321821.03,76154.2787346074,182919.845496183,32296.1269723294,30450.781846487,2946,32.2,22,23,"Chalatenango","Arcatao",66.85,"FMLN",109.239996605567,0.044068810770382,7.46775288526816,1,5,5
932,250880.75,52309.3615215412,182919.845496183,11091.8899860364,4559.6490723012,1136,46.4,10,24,"Chalatenango","Azacualpa",10.01,"FMLN",220.845730633803,0.113486513486513,8.80281690140845,1,5,5
901,1241516.39,789341.473926093,182919.845496183,209218.967139212,60036.1014714583,29271,58,721,25,"Chalatenango","Chalatenango",131.8,"ARENA",42.414553312152,0.222086494688923,24.6318882170066,5,1,1
909,431481.3,163789.446868099,182919.845496183,48622.8091206069,36149.2001576247,4164,32.9,35,26,"Chalatenango","Citalá",79.36,"ARENA",103.621829971182,0.052469758064516,8.40537944284342,2,5,5
914,382416.94,143918.682523877,182919.845496183,42723.9475371239,12854.464047986,2996,26.2,19,27,"Chalatenango","Comalapa",28.22,"ARENA",127.642503337784,0.106165839829908,6.34178905206943,2,5,5
911,475083.18,213823.004011754,182919.845496183,54407.878048389,23932.4524833871,6457,46.4,43,28,"Chalatenango","Concepción Quezaltepeque",52.54,"ARENA",73.5764565587734,0.122896840502474,6.65943936812761,2,2,3
908,449946.31,186921.051514962,182919.845496183,55489.6950665076,24615.710026689,5051,41.7,51,29,"Chalatenango","Dulce Nombre de María",54.04,"PCN",89.0806394773312,0.093467801628423,10.0970104929717,2,5,5
930,315900.99,93647.3411914864,182919.845496183,27800.310283184,11533.4901309357,2464,15,11,30,"Chalatenango","El Carrizal",25.32,"FMLN",128.206570616883,0.097314375987362,4.46428571428571,1,4,4
925,631876.77,338957.875625623,182919.845496183,86248.8043979149,23750.2478051733,10483,27.2,72,31,"Chalatenango","El Paraíso",52.14,"GANA",60.2763302489745,0.201054852320675,6.86826290184108,3,2,3
922,396080.68,155297.664413303,182919.845496183,46101.9277601441,11761.245978703,3923,11,19,33,"Chalatenango","La Laguna",25.82,"ARENA",100.963721641601,0.151936483346243,4.84323222023961,2,4,4
903,676919.59,325024.558165794,182919.845496183,107208.153137763,61767.0359144897,12235,23.8,51,34,"Chalatenango","La Palma",135.6,"FMLN",55.3264887617491,0.090228613569322,4.1683694319575,3,2,3
